gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Male,1,Yes,No,35,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,43.95,4237.76
Female,1,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.65,6828.63
Male,1,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,72.77,5654.79
Female,0,No,Yes,34,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,24.16,833.73
Male,1,No,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,114.42,1209.97
Female,1,Yes,Yes,29,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,53.38,147.45
Male,1,No,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),62.67,3004.97
Male,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),114.6,3949.53
Female,0,Yes,Yes,25,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),50.55,6887.63
Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.46,7210.13
Female,1,No,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),102.38,5444.64
Female,1,No,Yes,12,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,19.75,5174.87
Male,1,No,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),43.4,640.71
Male,0,No,Yes,32,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.66,3971.99
Male,1,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),60.01,5473.48
Male,1,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),72.91,2853.49
Female,1,No,No,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),38.4,1430.77
Male,1,No,Yes,24,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,116.4,5490.44
Female,1,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,30.99,4761.37
Male,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),69.01,1867.33
Female,1,No,No,55,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.51,3054.03
Male,1,Yes,No,64,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),35.31,943.7
Male,1,No,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,82.18,6272.52
Male,0,No,No,69,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,24.73,1477.6
Female,1,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),102.12,7332.04
Female,1,No,No,57,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),61.23,189.57
Male,1,No,Yes,22,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),89.61,995.81
Male,1,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,67.6,4192.58
Male,0,Yes,Yes,27,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,18.5,3693.36
Female,0,Yes,No,19,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,24.61,7711.75
Female,1,Yes,No,31,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,24.64,4662.39
Male,1,No,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,100.11,4784.6
Female,1,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,74.53,3968.5
Female,1,No,Yes,43,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),76.38,4386.15
Male,1,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,77.69,3992.84
Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,91.73,4981.52
Male,1,No,Yes,36,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,95.52,2823.46
Male,0,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.06,2414.58
Female,1,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,52.64,6135.58
Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,26.51,6156.23
Male,1,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,103.58,6312.57
Male,0,Yes,No,22,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),49.52,71.59
Female,1,Yes,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),103.08,761.71
Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,47.75,192.32
Male,0,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.97,5122.84
Male,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,106.27,6343.23
Male,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.29,3061.11
Male,1,Yes,Yes,59,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,68.53,6886.99
Male,1,No,No,10,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,89.12,5259.44
Female,1,Yes,No,20,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,53.13,2700.9
Female,1,No,No,13,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),80.76,2184.99
Female,1,Yes,Yes,32,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,36.44,3201.54
Female,1,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,92.11,412.49
Male,0,No,Yes,5,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),82.93,6619.45
Male,0,Yes,No,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),111.27,2089.65
Female,1,Yes,Yes,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,34.83,7913.18
Female,0,Yes,Yes,31,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,61.94,1894.08
Male,1,Yes,No,26,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,22.71,6043.33
Male,1,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.78,248.26
Male,0,No,Yes,3,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,90.35,5183.92
Female,1,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,105.5,2660.58
Male,0,No,No,68,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,38.28,7627.21
Male,1,No,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.72,2259.3
Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,6851.17
Female,0,No,Yes,72,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),79.83,604.13
Male,0,No,Yes,72,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,106.55,650.37
Female,0,No,No,10,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,106.72,7502.89
Male,1,Yes,No,26,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,80.31,7135.74
Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.41,7101.71
Male,1,Yes,Yes,60,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,49.23,4390.67
Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),39.08,3396.3
Male,1,No,Yes,18,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),35.93,2513.68
Female,0,Yes,No,44,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,117.84,80.91
Female,0,No,No,9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,102.28,3887.92
Female,0,Yes,Yes,52,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),68.28,769.16
Female,0,No,Yes,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,47.7,18.83
Male,0,No,No,58,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),49.87,768.88
Female,0,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),99.14,5053.39
Male,1,No,No,63,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.9,3783.21
Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.57,2179.85
Male,0,Yes,No,71,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),101.23,6397.21
Male,1,No,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.58,6461.2
Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),93.71,6505.8
Female,0,No,Yes,19,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,110.15,5606.83
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.26,4440.27
Male,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,103.96,207.73
Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,90.51,4716.2
Male,1,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,100.61,5832.69
Female,1,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.44,849.55
Female,0,No,No,26,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,88.34,7753.47
Female,1,No,Yes,32,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,49.79,6583.01
Male,0,No,No,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,79.14,3929.72
Male,0,No,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,118.16,4487.19
Female,0,No,Yes,21,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,115.91,1178.79
Male,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),55.54,5408.36
Male,1,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),96.59,6777.75
Male,1,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.06,6108.91
Female,0,No,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,52.91,2704.18
Female,1,No,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,58.43,873.78
Male,0,No,No,19,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),54.23,6363.12
Female,1,No,No,41,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),19.54,2282.12
Female,0,No,No,32,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.96,5727.0
Male,1,No,No,29,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),32.88,3119.62
Female,1,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),100.84,6792.19
Female,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.38,4117.09
Female,1,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,57.46,1626.23
Female,1,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,101.48,3891.29
Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.75,3194.62
Male,1,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),40.52,1348.57
Male,0,Yes,No,19,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,69.24,4180.67
Female,0,No,No,61,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),68.72,3807.13
Male,0,No,Yes,64,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,51.77,118.29
Male,1,No,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),59.59,1982.01
Male,0,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.83,7056.45
Female,1,Yes,No,54,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,39.53,1762.0
Male,1,Yes,Yes,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),106.36,6387.41
Female,1,No,Yes,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,106.0,4836.31
Male,1,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),91.35,6555.35
Male,1,Yes,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.95,3295.84
Female,0,No,No,24,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,83.77,3363.61
Male,1,No,No,42,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,111.26,5876.03
Male,0,No,No,31,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,36.53,1347.8
Male,0,Yes,Yes,34,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),24.23,4708.14
Male,1,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),111.96,6828.26
Male,0,Yes,Yes,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.48,7954.26
Female,1,Yes,No,8,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),116.59,7100.23
Female,1,Yes,Yes,10,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,44.24,2645.0
Male,1,Yes,Yes,1,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,41.91,196.57
Male,1,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),114.87,7231.75
Male,1,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),51.02,7759.29
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),117.68,3599.83
Female,1,Yes,No,66,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,106.5,6971.52
Female,1,Yes,No,20,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),57.49,1415.7
Male,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,93.63,5854.61
Female,1,No,No,8,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,61.77,6302.17
Female,1,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,55.79,2021.32
Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),41.06,1940.11
Female,1,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.08,3553.33
Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,99.38,4493.37
Male,1,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),34.79,4152.19
Female,1,Yes,No,21,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),35.33,5185.82
Female,1,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,110.86,6178.45
Male,1,No,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,80.06,3386.61
Male,1,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),64.91,4346.34
Female,1,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,57.76,0.08
Female,1,Yes,Yes,23,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,90.77,6368.35
Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,106.41,5036.6
Male,0,No,No,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),50.19,6017.1
Female,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),47.71,5924.11
Male,1,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,47.24,6558.9
Female,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,111.09,4193.05
Male,0,Yes,Yes,50,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),118.45,2572.77
Male,0,No,No,67,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),113.79,4686.86
Male,1,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,113.91,7050.53
Male,1,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),118.49,1578.04
Female,0,Yes,No,25,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,108.14,2058.02
Male,0,Yes,Yes,47,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),42.11,1048.39
Male,0,Yes,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,79.19,3763.51
Female,0,No,No,20,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),25.97,5903.07
Male,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,44.17,791.21
Male,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),72.57,4806.81
Female,1,No,Yes,41,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,30.32,1146.19
Male,0,Yes,No,20,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),21.2,6356.56
Male,1,No,No,20,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),37.21,7668.79
Male,1,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.33,504.55
Female,1,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.96,4438.97
Female,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),111.85,2673.64
Female,1,Yes,Yes,32,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,84.89,2534.9
Male,1,No,No,71,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.95,3781.43
Male,0,Yes,No,68,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),115.64,1288.56
Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.59,4256.05
Female,1,Yes,No,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),68.6,5852.79
Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.2,4792.93
Female,1,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,99.6,3464.55
Male,1,No,No,5,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),103.28,5704.43
Male,0,No,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.31,296.73
Male,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),109.84,2199.23
Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),45.69,1849.71
Female,1,No,Yes,51,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),32.98,3783.93
Female,0,No,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),40.78,4496.46
Female,0,No,No,71,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),69.75,3263.72
Female,0,Yes,Yes,71,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),19.61,6645.72
Female,1,Yes,Yes,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,99.84,5009.49
Male,1,No,Yes,52,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.47,7055.61
Female,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),46.8,5260.07
Male,1,No,No,11,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),72.89,5648.28
Female,1,No,No,71,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),79.3,4448.97
Male,0,No,No,41,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),117.95,1451.77
Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),76.48,2312.57
Female,1,Yes,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,79.56,4301.01
Female,1,Yes,No,1,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,63.51,5448.23
Male,1,No,Yes,59,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,34.18,4382.29
Male,1,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),82.5,930.05
Female,1,Yes,No,41,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,27.25,4447.3
Male,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),99.04,4920.18
Female,0,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,110.8,1760.9
Female,1,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,1143.02
